id,en,ru
0.0.0,Name,Название
1.1.0,Abbreviated name,Сокращенное название
1.1.1,Alternative names,Варианты названия
1.1.2,Genealogy,Генеалогия
1.1.3,Geography,Распространение
1.2.1,Dialects,Диалектный состав
1.3.1,Sociolinguistic status,Коммуникативно-функциональный статус и ранг языка
1.3.2,Degree of standardization (literary language),Степень стандардизации (литературный язык)
1.3.3,Teaching status,Учебно-педагогический статус
1.4.0,Writing system,Тип письменности
1.5.0,Historical periods,Периодизация истории языка
1.6.0,Changes in language structure caused by language contact,"Внутриструктурные явления, обусловленные внешнеязыковыми контактами"
2.6.0,Lexical borrowings,Лексические заимствования
