feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,not_stated,,,"Восемь гласных фонем приведены списком. См., однако, вводную статью В.С. Расторгуевой ""Иранские языки"" / ""Языки мира: Иранские языки. I. Юго-западные иранские языки""- М.: Индрик, 1997, С. 16, где утверждается наличие трех  (верхнего, среднего и нижнего) подъемов уже в позднеперсидском языке. ",,
A-2,Подъемы гласных,not_applicable,,,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,Ряды гласных постулируются.,,
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,,,
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-2,Отсутствует,,,
A-8,Противопоставление гласных по лабиализации,not_applicable,,,,,
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,
A-10,Противопоставление гласных по назализации,not_applicable,,,,,
A-11,Противопоставление гласных по фарингализации,listed,A-11-1,Противопоставление гласных по фарингализации отсутствует,,,
A-12,Противопоставление гласных по продвинутости корня языка,listed,A-12-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,
A-14,Типы дифтонгов,not_applicable,,,,,
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-1,Противопоставление по звонкости/глухости,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные",,,
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,,,
A-19,Шумные переднеязычные согласные по месту образования,not_stated,,,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,,,
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-1,Только фарингальные,,,
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,,,
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-6,"Назальные, плавные, вибранты и глайды",,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-14,"Лабиальные, переднеязычные и среднеязычные","Назальные определяются как смычные чистые носовые, плавные - как щелевые боковые. Глайд /y/ определяется как щелевой срединный.",,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-1,Отсутствуют,,,
A-26,Инвентарь фрикативных согласных по месту образования,custom,,"Лабиальные, переднеязычные, среднеязычные, велярные, увулярные и фарингальные",Классификация отражает таблицу консонантизма в статье.,,
B-1,Вид основной просодической единицы,listed,B-1-1,Ударение,,,
B-2,Носитель просодической единицы,listed,B-2-1,Слог,,,
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,listed,B-3-1,Фонологическая,,,
B-4,Вид ударения (качественные характеристики),listed,B-4-1,Динамическое,,,
B-5,Фиксированность ударения,listed,B-5-2,Связанное,,,
B-6,Типы связанного ударения,listed,B-6-2,Ограниченное,,,
B-7,Тип ударения при формообразовании (словоизменении),listed,B-7-3,Подвижное и неподвижное,Предполагается наличие второстепенного ударения.,,
B-8,Тип строго фиксированного ударения (по положению в слове),not_applicable,,,,,
B-9,Носители ограниченного (разноместного) ударения,listed,B-9-4,Конечный слог,Место ударения на исходе словоформы определяется предположительно. ,,
B-10,Виды тонем,not_applicable,,,,,
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),not_applicable,,,,,
B-12,"Типы уровневого (регистрового, ровного) тона",not_applicable,,,,,
B-13,Количество уровней контурных тонов,not_applicable,,,,,
B-14,"Типы контурных (скользящих, модулярных, модулированных) тонем",not_applicable,,,,,
B-15,Характер долготы,listed,B-15-1,Фонологическая,,,
B-16,Область гармонического уподобления гласных,not_stated,,,,,
B-17,Признак гармонического уподобления гласных,not_applicable,,,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,not_applicable,,,,,
B-19,Прочие супрасегментные явления,custom,,Спирантизация согласных,О позиционной реализации гласных фонем данных нет. ,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-2,Большинство слогов прикрытые,,,
C-2,Конечный согласный в слоге,listed,C-2-4,Есть закрытые и открытые слоги,,,
C-3,Стечения согласных в слоге,listed,C-3-3,Стечения согласных возможны только в конце слога,,,
D-1,Ограничения на фонемную структуру начала слова,not_stated,,,,,
D-2,Тип ограничений на фонемную структуру начала слова (анлаута),not_applicable,,,,,
D-3,Ограничения на фонемную структуру в конце слова,not_stated,,,,,
D-4,Тип ограничений  на фонемную структуру в конце слова (ауслауте),not_applicable,,,,,
D-5,Варианты особенностей слогового состава слова,not_stated,,,,,
D-6,Различия между знаменательными и служебными словами,explicit_gap,,,,,
D-7,Типы различий между знаменательными и служебными словами,not_applicable,,,,,
D-8,Различия между исконными и заимствованными словами,not_stated,,,,,
D-9,Типы различий между исконными и заимствованными словами,not_applicable,,,,,
D-10,Различия между корневыми и аффиксальными морфемами,explicit_gap,,,,,
D-11,Типы различий между корневыми и аффиксальными морфемами,not_applicable,,,,,
D-12,Функциональный тип чередований,explicit_gap,,,,,
D-13,Вид чередований,explicit_gap,,,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-4,Флективный с элементами агглютинации,,,
E-2,Признаки флективного строя,custom,,Кумулятивность флексий,Глагольные флексии кумулятивно выражают лицо и число.,,
E-3,Признаки агглютинативного строя,listed,E-3-5,"Отсутствие полисемантизма флексий, единый тип склонения или спряжения и постоянство морфемного облика",,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-3,Аналитический с элементами синтетизма,,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,Категория рода отсутствует.,,
F-2,Морфологические способы выражения согласовательных классов,not_applicable,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_applicable,,,,,
F-4,Другие способы выражения согласовательных классов,not_applicable,,,,,
F-5,Атрибутивное согласование прилагательных по роду (в зависимости от числа),not_applicable,,,,,
F-6,Согласование количественных числительных в роде,not_applicable,,,,,
F-7,Классифицирующие категории существительных,listed,F-7-4,Личность/неличность и одушевленность/неодушевленность,,,
F-8,Противопоставление по личности/неличности,listed,F-8-7,"Лексическое, морфологическое и синтаксическое","При подлежащем, выраженном личным именем, сказуемое согласуется с ним в числе (ед./мн.).",,
