feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,not_stated,,,"В языке есть следующие гласные: а, е, и, о, у, а также их назализованные и долгие версии.",,284
A-2,Подъемы гласных,not_stated,,,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,not_stated,,,"В языке есть следующие гласные: а, е, и, о, у, а также их назализованные и долгие версии.",,284
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,,,284
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,284
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-2,Отсутствует,"Гласные не противопоставлены по лабиализации, но гласные бывают лабиальные и нелабиальные.",,
A-8,Противопоставление гласных по лабиализации,not_applicable,,,,,284
A-9,Наличие противопоставления гласных по назализации,listed,A-9-1,Присутствует,,,284
A-10,Противопоставление гласных по назализации,not_stated,,,"Так как в статье не указано эксплицитно, какие есть ряды гласных, сказать, в каких рядах есть противопоставление по назализации невозможно. Она отмечена для всех гласных в статье: а, е, и, о, у.",,284
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,284
A-14,Типы дифтонгов,not_applicable,,,,,284
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-3,Глоттализованные согласные,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные",,,284
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,284
A-18,Типы шумных губных согласных по месту образования,listed,A-18-1,Только губно-губные,,,284
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-6,Дентальные и альвеолярные,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,"Велярные согласные в статье называются ""заднеязычными"".",,284
