feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,not_stated,,,Разные источники выделяют от девяти до 18 гласных фонем. ,,
A-2,Подъемы гласных,not_stated,,,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_applicable,,,,,
A-4,Ряды гласных,listed,A-4-3,"Передний, средний (смешанный) и задний",Ряды гласных постулируются.,,
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,Признак долготы/краткости предположительно коррелирует с признаком  устойчивость/неустойчивость.,,
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-2,Отсутствует,,,
A-8,Противопоставление гласных по лабиализации,not_applicable,,,,,
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,В одном из источников отмечены назализованные гласные переднего и заднего ряда.,,
A-10,Противопоставление гласных по назализации,not_applicable,,,,,
A-11,Противопоставление гласных по фарингализации,listed,A-11-1,Противопоставление гласных по фарингализации отсутствует,,,
A-12,Противопоставление гласных по продвинутости корня языка,listed,A-12-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,В одном из источников предполагается наличие трех нисходящих дифтонгов.,,
A-14,Типы дифтонгов,not_applicable,,,,,
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-1,Противопоставление по звонкости/глухости,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные",,,
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,,,
A-19,Шумные переднеязычные согласные по месту образования,not_stated,,,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,,,
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-1,Только фарингальные,Верхнефарингальные фрикативные согласные.,,
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,,,
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-2,"Назальные, плавные и вибранты",,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-7,Лабиальные и переднеязычные,,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-1,Отсутствуют,,,
A-26,Инвентарь фрикативных согласных по месту образования,custom,,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",Лабиальные: лабиодентальные глухой /f/ и звонкий /v/. Заднеязычные: увулярные. Постувулярные: фарингальные.,,
B-1,Вид основной просодической единицы,listed,B-1-1,Ударение,,,
B-2,Носитель просодической единицы,listed,B-2-1,Слог,,,
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,listed,B-3-1,Фонологическая,,,
B-4,Вид ударения (качественные характеристики),listed,B-4-1,Динамическое,,,
B-5,Фиксированность ударения,listed,B-5-2,Связанное,,,
B-6,Типы связанного ударения,listed,B-6-2,Ограниченное,,,
B-7,Тип ударения при формообразовании (словоизменении),listed,B-7-2,Неподвижное,,,
B-8,Тип строго фиксированного ударения (по положению в слове),not_applicable,,,,,
B-9,Носители ограниченного (разноместного) ударения,listed,B-9-4,Конечный слог,Постпозитивные показатели изафета и неопределенности и энклитические местоимения безударны.,,
B-10,Виды тонем,not_applicable,,,,,
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),not_applicable,,,,,
B-12,"Типы уровневого (регистрового, ровного) тона",not_applicable,,,,,
B-13,Количество уровней контурных тонов,not_applicable,,,,,
B-14,"Типы контурных (скользящих, модулярных, модулированных) тонем",not_applicable,,,,,
B-15,Характер долготы,listed,B-15-1,Фонологическая,,,
B-16,Область гармонического уподобления гласных,listed,B-16-9,Гармоническое уподобление гласных отсутствует,,,
B-17,Признак гармонического уподобления гласных,not_applicable,,,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,not_applicable,,,,,
B-19,Прочие супрасегментные явления,not_stated,,,,,
B-20,Типы фонации,not_applicable,,,,,
C-1,Начальный согласный в слоге,not_stated,,,,,
C-2,Конечный согласный в слоге,not_stated,,,,,
C-3,Стечения согласных в слоге,not_stated,,,,,
D-1,Ограничения на фонемную структуру начала слова,not_stated,,,,,
D-2,Тип ограничений на фонемную структуру начала слова (анлаута),not_applicable,,,,,
D-3,Ограничения на фонемную структуру в конце слова,not_stated,,,,,
D-4,Тип ограничений  на фонемную структуру в конце слова (ауслауте),not_applicable,,,,,
D-5,Варианты особенностей слогового состава слова,not_stated,,,,,
D-6,Различия между знаменательными и служебными словами,listed,D-6-1,Отсутствуют,,,
D-7,Типы различий между знаменательными и служебными словами,not_applicable,,,,,
D-8,Различия между исконными и заимствованными словами,listed,D-8-2,Присутствуют,,,
D-9,Типы различий между исконными и заимствованными словами,listed,D-9-1,Различия в фонетическом составе,,,
D-10,Различия между корневыми и аффиксальными морфемами,listed,D-10-1,Отсутствуют,,,
D-11,Типы различий между корневыми и аффиксальными морфемами,not_applicable,,,,,
D-12,Функциональный тип чередований,not_stated,,,,,
D-13,Вид чередований,not_stated,,,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-4,Флективный с элементами агглютинации,,,
E-2,Признаки флективного строя,custom,,Кумулятивность флексий,"Глагольные флексии кумулятивно выражают лицо, число, (ограниченно) род и (частично) время.",,
E-3,Признаки агглютинативного строя,custom,,"Постоянство морфемного облика, отсутствие полисемантизма аффиксов, совпадение исходной формы с чистой основой и единый тип спряжения",,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,,
F-1,Количество согласовательных классов,listed,F-1-2,Два,Различаются мужской и женский род.,,
F-2,Морфологические способы выражения согласовательных классов,listed,F-2-3,Аффиксация в глаголе,,,
F-3,Синтаксические способы выражения согласовательных классов,listed,F-3-19,В глаголе и местоимении,,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование прилагательных по роду (в зависимости от числа),listed,F-5-1,Отсутствует,,,
F-6,Согласование количественных числительных в роде,listed,F-6-1,Отсутствует,,,
F-7,Классифицирующие категории существительных,listed,F-7-3,Одушевленность/неодушевленность,,,
F-8,Противопоставление по личности/неличности,listed,F-8-1,Лексическое,,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-4,Лексический и синтаксический,Глагол согласуется по роду в 3-м лице ед. числа только  с одушевленными существительными. ,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,listed,G-3-1,Отсутствуют,,,
G-4,Согласование по числу,listed,G-4-2,Предикативное,,,
G-5,Форма числа существительного в сочетании с числительными,not_stated,,,,,
G-6,Система счисления,listed,G-6-1,Десятичная,,,
H-1,Количество падежей у имени существительного,listed,H-1-6,Категория падежа отсутствует,,,
H-2,Маркирование субъекта и объекта,custom,,"Глагольное согласование, предлоги, послелоги и порядок слов",Прямой определенный объект оформляется суффигированным послелогом (-rā).,,
H-3,Падежное оформление именного сказуемого,not_applicable,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,not_applicable,,,,,
H-5,Другие способы оформления посессивного отношения,custom,,Соположение и посессивные аффиксы,Посессивный аффикс используется в составе изафетной конструкции.,,
H-6,Способ выражения пространственных отношений,custom,,"Наречия места, предлоги и послелоги ",,,
H-7,Маркирование в посессивной конструкции,listed,H-7-2,Маркируется вершина,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,not_applicable,,,,,
H-9,Наличие вторичных падежей,not_applicable,,,,,
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-1,Категория залога отсутствует,,,
I-2,Возможность наложения нескольких залоговых форм,not_applicable,,,,,
I-3,Двойные залоговые формы,not_applicable,,,,,
I-4,Совпадение залоговых форм,not_applicable,,,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-5,Прошедшее&Непрошедшее (настоящее-будущее),,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,,
I-7,Способ выражения временных категорий,custom,,"Тип основы, аффиксы, флексии, клитики и вспомогательный глагол + причастие ",В аналитической конструкции вспомогательный глагол следует за причастием. Связка входит в состав глагольной словоформы.,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-19,"Лицо, число, род, время, вид и модальность (наклонение)",Глагольные формы различают род в 3-м лице ед. числа.,,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,,
I-10,Маркер переходности,custom,,Флексии и клитики,"Непереходные глаголы в формах прошедшего времени имеют флективные личные показатели, переходные глаголы принимают местоименные клитики.",,
J-1,Наличие местоименных слов,custom,,"Местоимения-существительные, местоимения-прилагательные и местоименные наречия",,,
J-2,Способы выражения дейктических категорий,custom,,"Указательные местоимения, наречия, предлоги и послелоги",,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",listed,J-3-9,Предлоги и послелоги,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-6,Местоимения и наречия,,,
J-5,Морфологическое выражение определенности/неопределенности имени,custom,,Именные аффиксы и послелоги,Неопределенность выражается постпозитивным показателем. В определительном словосочетании показатель оформляет определение или всю атрибутивную группу. Определенное прямое дополнение оформляется суффигированным послелогом (-rā).,,
J-6,"Части речи, выражающие определенность/неопределенность имени",custom,,"Артикли, местоимения, числительные и послелоги",,,
J-7,Грамматические способы выражения вежливости,not_stated,,,,,
J-8,Способы выражения отрицания,listed,J-8-9,Отрицательные частицы и аффиксы,,,
J-9,Позиция показателя отрицания,listed,J-9-3,Препозиция,,,
K-1,Склонение личных местоимений,listed,K-1-1,Местоимения не склоняются,,,
K-2,Артикли,listed,K-2-2,Только неопределенный,,,
K-3,Неопределенный артикль и числительное «один»,listed,K-3-2,Не совпадают,,,
K-4,Расположение артикля,listed,K-4-2,Постпозиция,,,
K-5,Постановка артикля в именной группе,listed,K-5-1,Единый артикль для всей именной группы,,,
K-6,"Грамматические категории, выражаемые артиклем",custom,,Определенность/неопределенность,,,
K-7,Количество типов спряжения глаголов,listed,K-7-1,Единый тип спряжения,,,
K-8,Типы глагольного согласования,listed,K-8-2,Субъектное,,,
K-9,"Согласовательные категории, выражаемые причастием",listed,K-9-1,Отсутствуют,,,
K-10,"Время, выражаемое причастием",listed,K-10-4,Прошедшее,,,
K-11,"Грамматические категории, выражаемые наречием",not_stated,,,,,
K-12,"Согласовательные категории, выражаемые прилагательным",listed,K-12-1,Отсутствуют,,,
K-13,Возможность кумулятивного выражения нескольких категорий в прилагательном,not_applicable,,,,,
K-14,Атрибутивное согласование прилагательных,listed,K-14-2,Отсутствует,,,
K-15,Типы атрибутивного согласования,listed,K-15-4,По роду,Атрибутивное согласование ограничено указательными местоимениями.,,
K-16,"Изменяемые грамматические категории, выражаемые существительным",listed,K-16-3&K-16-4,Определенность/ неопределенность&Число,,,
