feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-1,Два,,,132
A-2,Подъемы гласных,listed,A-2-1,Верхний и нижний,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,not_stated,,,"В абхазском языке существует две гласные: а,ы. Гласная [а] среднего ряда, ряд для [ы] в статье не указан.",,132
A-5,Наличие фонологических ступеней долготы,listed,A-5-2,Отсутствуют,,,132
A-6,Фонологические ступени долготы,not_applicable,,,,,132
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-2,Отсутствует,,,132
A-8,Противопоставление гласных по лабиализации,not_applicable,,,,,132
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,132
A-10,Противопоставление гласных по назализации,not_applicable,,,,,132
A-11,Противопоставление гласных по фарингализации,listed,A-11-1,Противопоставление гласных по фарингализации отсутствует,,,
A-12,Противопоставление гласных по продвинутости корня языка,listed,A-12-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-2,Только дифтонги,"Гласные е, о получены из сочетаний а с сонорными согласными. и из сочетаний ы с сонорными согласными.",,132
A-14,Типы дифтонгов,listed,A-14-3,Восходящие и нисходящие,,,132
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-3,Глоттализованные согласные,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные",,,133
A-17,Типы шумных согласных по месту образования,listed,A-17-4,"Губные, переднеязычные, велярные/увулярные и ларингальные",,,133
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,"В статье используется термин ""губные"", однако в абазинском языке есть фонема ф, являющаяся губно-зубной.",,133
A-19,Шумные переднеязычные согласные по месту образования,not_stated,,,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,"Вместо термина ""велярные"" в статье используется термин ""заднеязычные"".",,133
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-2,Только глоттальные,"В статье используется термин ""ларингальные"", однако фонемы, находящиеся в этой строке таблицы консонантизма, являются глоттальными.",,133
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-5,По лабиализации и палатализации,"Контраст по лабиализации существует для велярных, увулярных и глоттальных. По палатализации -- для велярных и увулярных.",,133
A-23,Инвентарь сонорных согласных по способу артикуляции,not_stated,,,,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-14,"Лабиальные, переднеязычные и среднеязычные",,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-2,По звонкости,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,listed,B-1-1,Ударение,,,133
B-2,Носитель просодической единицы,listed,B-2-1,Слог,,,133
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,listed,B-3-1,Фонологическая,,,133
B-4,Вид ударения (качественные характеристики),listed,B-4-1,Динамическое,,,133
B-5,Фиксированность ударения,listed,B-5-1,Свободное,,,133
B-6,Типы связанного ударения,not_applicable,,,,,133
B-7,Тип ударения при формообразовании (словоизменении),listed,B-7-3,Подвижное и неподвижное,"Наиболее подвижным ударение является в случаях, когда оно падает на последний слог. В остальных случаях оно может быть более стабильным. Однако большинство слов обладают подвижным ударением.",,133
B-8,Тип строго фиксированного ударения (по положению в слове),not_applicable,,,,,133
B-9,Носители ограниченного (разноместного) ударения,not_applicable,,,,,133
B-10,Виды тонем,not_applicable,,,,,133
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),not_applicable,,,,,133
B-12,"Типы уровневого (регистрового, ровного) тона",not_applicable,,,,,133
B-13,Количество уровней контурных тонов,not_applicable,,,,,133
B-14,"Типы контурных (скользящих, модулярных, модулированных) тонем",not_applicable,,,,,133
B-15,Характер долготы,not_stated,,,,,
B-16,Область гармонического уподобления гласных,listed,B-16-9,Гармоническое уподобление гласных отсутствует,,,
B-17,Признак гармонического уподобления гласных,not_applicable,,,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,not_applicable,,,,,
B-19,Прочие супрасегментные явления,not_stated,,,,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-4,Есть прикрытые и неприкрытые слоги,,,134
C-2,Конечный согласный в слоге,listed,C-2-4,Есть закрытые и открытые слоги,,,134
C-3,Стечения согласных в слоге,listed,C-3-4,"Стечения согласных возможны и в начале, и в конце слога",,,134
D-1,Ограничения на фонемную структуру начала слова,listed,D-1-1,Отсутствуют,,,134
D-2,Тип ограничений на фонемную структуру начала слова (анлаута),not_applicable,,,,,134
D-3,Ограничения на фонемную структуру в конце слова,listed,D-3-1,Отсутствуют,,,134
D-4,Тип ограничений  на фонемную структуру в конце слова (ауслауте),not_applicable,,,,,134
D-5,Варианты особенностей слогового состава слова,not_stated,,,"Эксплицитно это не указано, но можно отметить, что для абазинского характерны одно-/двусложные корни, которые могут присоединять большое количество морфем, превращаясь в многосложные слова.",,134
D-6,Различия между знаменательными и служебными словами,listed,D-6-1,Отсутствуют,,,134
D-7,Типы различий между знаменательными и служебными словами,not_applicable,,,,,134
D-8,Различия между исконными и заимствованными словами,listed,D-8-2,Присутствуют,"Некоторые согласные заимствованы из адыгских, в частности х, хв, ль, тл.",,133
D-9,Типы различий между исконными и заимствованными словами,listed,D-9-1,Различия в фонетическом составе,"Некоторые согласные заимствованы из адыгских, в частности х, хв, ль, тл.",,133
D-10,Различия между корневыми и аффиксальными морфемами,listed,D-10-1,Отсутствуют,,,134
D-11,Типы различий между корневыми и аффиксальными морфемами,not_applicable,,,,,134
D-12,Функциональный тип чередований,not_stated,,,,,
D-13,Вид чередований,not_stated,,,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-1,Агглютинативный,,,
E-2,Признаки флективного строя,not_stated,,,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-5,Синтетический,,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,,,
F-2,Морфологические способы выражения согласовательных классов,not_applicable,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_applicable,,,,,
F-4,Другие способы выражения согласовательных классов,not_applicable,,,,,
F-5,Атрибутивное согласование прилагательных по роду (в зависимости от числа),listed,F-5-1,Отсутствует,,,140
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,custom,,человек-вещь,,,
F-8,Противопоставление по личности/неличности,not_stated,,,,,
F-9,Способ выражения одушевленности/неодушевленности,not_stated,,,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,135
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,"Множественное число маркировано аффиксом -ква, единственное -- нулем.",,135
G-3,Формы вежливости в местоимениях и глаголах,listed,G-3-1,Отсутствуют,,,140
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,"В случае, если именная группа находится в множественном числе, суффикс множественного числа находится лишь на последнем слове именной группы (прилагательном). Таким образом, вероятно, разумнее считать что здесь не происходит согласования по числу, а суффикс оказывается на прилагательном из-за того, что он изначально присоединяется к группе в целом. При этом двухличные и трехличные причастия могут согласовываться в том числе по числу, как и указательные местоимения.",,135
G-5,Форма числа существительного в сочетании с числительными,not_stated,,,,,135
G-6,Система счисления,listed,G-6-4,Двадцатеричная с элементами десятичной,,,136
H-1,Количество падежей у имени существительного,listed,H-1-1,Один-два,,,
H-2,Маркирование субъекта и объекта,not_stated,,,,,
H-3,Падежное оформление именного сказуемого,not_stated,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,custom,,отсутствует,"Посессор маркирован на вершине, а не наоборот.",,140
H-5,Другие способы оформления посессивного отношения,listed,H-5-4,Посессивные местоимения,,,
H-6,Способ выражения пространственных отношений,listed,H-6-25,Превербы и наречия,,,
H-7,Маркирование в посессивной конструкции,not_stated,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,not_applicable,,,Имя не обладает падежными формами.,,136
H-9,Наличие вторичных падежей,not_applicable,,,Имя не обладает падежными формами.,,136
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-4,Аффиксы,,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,listed,I-4-1,Отсутствует,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-2&I-5-3,Прошедшее&Настоящее&Будущее,,,139
I-6,Выражение вида и времени,not_stated,,,,,
I-7,Способ выражения временных категорий,listed,I-7-1,Аффиксы,,,
I-8,Синкретическое выражение нескольких глагольных значений,not_stated,,,,,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,,
I-10,Маркер переходности,not_stated,,,,,
J-1,Наличие местоименных слов,not_stated,,,,,
J-2,Способы выражения дейктических категорий,not_stated,,,,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",listed,J-3-12,Превербы,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-3,Наречия,,,
J-5,Морфологическое выражение определенности/неопределенности имени,listed,J-5-2,Именные аффиксы,,,
J-6,"Части речи, выражающие определенность/неопределенность имени",not_stated,,,,,
