feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-2,Три,,,82
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,,,82
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,Долгие гласныевосстанавливаются на основании сохранения пратюркской долготы в туркменском и других языках.,,82
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,82
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-1,Присутствует,"Упоминается, что в основах могл отсутствовать сингармонизм по лабиализованности. Чаще всего это было ""результатом воздействия лабиального качества согласного второго слога"".",,82
A-8,Противопоставление гласных по лабиализации,listed,A-8-5,В переднем и заднем / непереднем рядах,,,82
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,82
A-10,Противопоставление гласных по назализации,not_applicable,,,,,82
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,82
A-14,Типы дифтонгов,not_applicable,,,,,82
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-1,Противопоставление по звонкости/глухости,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные",,,83
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,83
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,,,83
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-9,Дентальные и постальвеолярные,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-2,Велярно-увулярные,"В статье ""заднеязычные"" делятся на палаталиованные (велярные) и веляризованные (увулярные) варианты, являющиеся аллофонами, выбор которых зависит от качеств гласного. При этом есть отдельная группа увулярных, у которых в таблице не отмечены велярные аллофоны.",,83
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-1,Только фарингальные,,,83
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,"Упоминаются палатальные/велярные варианты согласных, однако здесь речь идет не о противопоставлении по палатализации, а о том, что велярные и увулярные согласные являются аллофонами, выбираемыми в зависимости от качеств гласного (что в целом характерно для некоторых тюркских языков, см статью ""Тюркские языки"" этого тома). Т акже упоминаются лабиальные качества согласных, но о противопоставлении речи не идет.",,83
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-2,"Назальные, плавные и вибранты",,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-16,"Лабиальные, переднеязычные и заднеязычные",,,
A-25,Дополнительные противопоставления сонорных согласных,not_stated,,,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,not_stated,,,,,
B-2,Носитель просодической единицы,not_stated,,,,,
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,not_stated,,,,,
B-4,Вид ударения (качественные характеристики),not_stated,,,,,
B-5,Фиксированность ударения,not_stated,,,,,
B-6,Типы связанного ударения,not_stated,,,,,
B-7,Тип ударения при формообразовании (словоизменении),not_stated,,,,,
B-8,Тип строго фиксированного ударения (по положению в слове),not_stated,,,,,
B-9,Носители ограниченного (разноместного) ударения,not_stated,,,,,
B-10,Виды тонем,not_stated,,,,,
